SUBDIVISION,STATE
Andaman & Nicobar Islands,Andaman and Nicobar Islands
Assam & Meghalaya,Assam
Assam & Meghalaya,Meghalaya
"Nagaland, Manipur, Mizoram, Tripura",Nagaland
"Nagaland, Manipur, Mizoram, Tripura",Manipur
"Nagaland, Manipur, Mizoram, Tripura",Mizoram
"Nagaland, Manipur, Mizoram, Tripura",Tripura
Gangetic West Bengal,West Bengal
